evidence_id,doc_id,domain,label_doc,file_name,file_type,file_size,hash_algorithm,hash_sha256,copied_hash_sha256,hash_match,original_path,working_copy_path
EVD-000001,DOC-000001,document,ai_generated,gemini-3-flash-preview-1000x.jsonl,jsonl,3876933,sha256,e1470fa58f05cf6f6537c37a13823d2daf8c30bf4ee0fc73776ac88ac0a0f756,e1470fa58f05cf6f6537c37a13823d2daf8c30bf4ee0fc73776ac88ac0a0f756,True,evidence_raw/documents/ai-generated/gemini-3-flash-preview-1000x.jsonl,evidence_acquired/copied_files/documents/ai-generated/gemini-3-flash-preview-1000x.jsonl
EVD-000002,DOC-000002,document,ai_generated,GPT-5-Dataset.json,json,81860,sha256,3f05e37663a7e43d2a7cebbbfcb1fae0f894527475aadcc38809cdfe7a4090a2,3f05e37663a7e43d2a7cebbbfcb1fae0f894527475aadcc38809cdfe7a4090a2,True,evidence_raw/documents/ai-generated/GPT-5-Dataset.json,evidence_acquired/copied_files/documents/ai-generated/GPT-5-Dataset.json
EVD-000003,DOC-000003,document,ai_generated,gpt-5.4-xhigh-reasoning-550x.jsonl,jsonl,10225066,sha256,a64c080c12f95417d371b22ea7a7cbfedaec071185845afdf8cb27a8af2d6008,a64c080c12f95417d371b22ea7a7cbfedaec071185845afdf8cb27a8af2d6008,True,evidence_raw/documents/ai-generated/gpt-5.4-xhigh-reasoning-550x.jsonl,evidence_acquired/copied_files/documents/ai-generated/gpt-5.4-xhigh-reasoning-550x.jsonl
EVD-000004,DOC-000004,document,ai_generated,gpt5.4.jsonl,jsonl,13551282,sha256,ed04ba4c85b93140d93b5a56ba176a5c40199ba1ca4608c21ba0ae42ecd6b512,ed04ba4c85b93140d93b5a56ba176a5c40199ba1ca4608c21ba0ae42ecd6b512,True,evidence_raw/documents/ai-generated/gpt5.4.jsonl,evidence_acquired/copied_files/documents/ai-generated/gpt5.4.jsonl
EVD-000005,DOC-000005,document,ai_generated,opus46_final.jsonl,jsonl,13404840,sha256,f2282f16d0fc225e03b6f0485b9eb5eef1a0b9ff55157a13c02cb6a7eefa5ea2,f2282f16d0fc225e03b6f0485b9eb5eef1a0b9ff55157a13c02cb6a7eefa5ea2,True,evidence_raw/documents/ai-generated/opus46_final.jsonl,evidence_acquired/copied_files/documents/ai-generated/opus46_final.jsonl
EVD-000006,DOC-000006,document,ai_generated,train-00000-of-00001-896b7b6324b68c9c.parquet,parquet,10127441,sha256,0ec7ad51820e7075507f1b16fc1e83cf4a31c0799edd86260d1827c33a0b9c4f,0ec7ad51820e7075507f1b16fc1e83cf4a31c0799edd86260d1827c33a0b9c4f,True,evidence_raw/documents/ai-generated/train-00000-of-00001-896b7b6324b68c9c.parquet,evidence_acquired/copied_files/documents/ai-generated/train-00000-of-00001-896b7b6324b68c9c.parquet
EVD-000007,DOC-000007,document,ai_generated,train-00006-of-00007-3d8a471ba0cf1c8d.parquet,parquet,241681006,sha256,a30157deb2451a76789052271b08450c06acceb30b2eaaa47f288e934d8a682e,a30157deb2451a76789052271b08450c06acceb30b2eaaa47f288e934d8a682e,True,evidence_raw/documents/ai-generated/train-00006-of-00007-3d8a471ba0cf1c8d.parquet,evidence_acquired/copied_files/documents/ai-generated/train-00006-of-00007-3d8a471ba0cf1c8d.parquet
EVD-000008,DOC-000008,document,human,train-00000-of-00007-bc5952582e004d67.parquet,parquet,757597833,sha256,61784b59d8cfa4fef289ab89356b63c7b01003fd86975c897f169e94464db3b9,61784b59d8cfa4fef289ab89356b63c7b01003fd86975c897f169e94464db3b9,True,evidence_raw/documents/human/train-00000-of-00007-bc5952582e004d67.parquet,evidence_acquired/copied_files/documents/human/train-00000-of-00007-bc5952582e004d67.parquet
EVD-000009,DOC-000009,document,human,train-00001-of-00007-71c80017bc45f30d.parquet,parquet,317633760,sha256,dc73e1d6834d7432c10b773a4b0f2e9a7e875f15a69a2ecd005a76b7340fedd6,dc73e1d6834d7432c10b773a4b0f2e9a7e875f15a69a2ecd005a76b7340fedd6,True,evidence_raw/documents/human/train-00001-of-00007-71c80017bc45f30d.parquet,evidence_acquired/copied_files/documents/human/train-00001-of-00007-71c80017bc45f30d.parquet
EVD-000010,DOC-000010,document,human,train-00002-of-00007-ee2d43f396e78fbc.parquet,parquet,124574604,sha256,9b0171ce3214f54e33634b966e7cb87660195169c5c07af50fa272a6cdb24973,9b0171ce3214f54e33634b966e7cb87660195169c5c07af50fa272a6cdb24973,True,evidence_raw/documents/human/train-00002-of-00007-ee2d43f396e78fbc.parquet,evidence_acquired/copied_files/documents/human/train-00002-of-00007-ee2d43f396e78fbc.parquet
EVD-000011,DOC-000011,document,human,train-00003-of-00007-529931154b42b51d.parquet,parquet,137433618,sha256,9b8c76d3044e023cadf673ce81d241991e6a8a02fe479c5e8f97f95bf1506692,9b8c76d3044e023cadf673ce81d241991e6a8a02fe479c5e8f97f95bf1506692,True,evidence_raw/documents/human/train-00003-of-00007-529931154b42b51d.parquet,evidence_acquired/copied_files/documents/human/train-00003-of-00007-529931154b42b51d.parquet
