evidence_id,doc_id,file_name,file_type,domain,source,acquisition_date,file_size,hash_sha256,label_doc,notes,original_path,working_copy_path
EVD-000001,DOC-000001,gemini-3-flash-preview-1000x.jsonl,jsonl,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,3876933,e1470fa58f05cf6f6537c37a13823d2daf8c30bf4ee0fc73776ac88ac0a0f756,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/gemini-3-flash-preview-1000x.jsonl,evidence_acquired/copied_files/documents/ai-generated/gemini-3-flash-preview-1000x.jsonl
EVD-000002,DOC-000002,GPT-5-Dataset.json,json,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,81860,3f05e37663a7e43d2a7cebbbfcb1fae0f894527475aadcc38809cdfe7a4090a2,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/GPT-5-Dataset.json,evidence_acquired/copied_files/documents/ai-generated/GPT-5-Dataset.json
EVD-000003,DOC-000003,gpt-5.4-xhigh-reasoning-550x.jsonl,jsonl,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,10225066,a64c080c12f95417d371b22ea7a7cbfedaec071185845afdf8cb27a8af2d6008,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/gpt-5.4-xhigh-reasoning-550x.jsonl,evidence_acquired/copied_files/documents/ai-generated/gpt-5.4-xhigh-reasoning-550x.jsonl
EVD-000004,DOC-000004,gpt5.4.jsonl,jsonl,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,13551282,ed04ba4c85b93140d93b5a56ba176a5c40199ba1ca4608c21ba0ae42ecd6b512,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/gpt5.4.jsonl,evidence_acquired/copied_files/documents/ai-generated/gpt5.4.jsonl
EVD-000005,DOC-000005,opus46_final.jsonl,jsonl,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,13404840,f2282f16d0fc225e03b6f0485b9eb5eef1a0b9ff55157a13c02cb6a7eefa5ea2,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/opus46_final.jsonl,evidence_acquired/copied_files/documents/ai-generated/opus46_final.jsonl
EVD-000006,DOC-000006,train-00000-of-00001-896b7b6324b68c9c.parquet,parquet,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,10127441,0ec7ad51820e7075507f1b16fc1e83cf4a31c0799edd86260d1827c33a0b9c4f,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/train-00000-of-00001-896b7b6324b68c9c.parquet,evidence_acquired/copied_files/documents/ai-generated/train-00000-of-00001-896b7b6324b68c9c.parquet
EVD-000007,DOC-000007,train-00006-of-00007-3d8a471ba0cf1c8d.parquet,parquet,document,manual_document_dataset/ai-generated,2026-04-25T09:50:24+07:00,241681006,a30157deb2451a76789052271b08450c06acceb30b2eaaa47f288e934d8a682e,ai_generated,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/ai-generated/train-00006-of-00007-3d8a471ba0cf1c8d.parquet,evidence_acquired/copied_files/documents/ai-generated/train-00006-of-00007-3d8a471ba0cf1c8d.parquet
EVD-000008,DOC-000008,train-00000-of-00007-bc5952582e004d67.parquet,parquet,document,manual_document_dataset/human,2026-04-25T09:50:24+07:00,757597833,61784b59d8cfa4fef289ab89356b63c7b01003fd86975c897f169e94464db3b9,human,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/human/train-00000-of-00007-bc5952582e004d67.parquet,evidence_acquired/copied_files/documents/human/train-00000-of-00007-bc5952582e004d67.parquet
EVD-000009,DOC-000009,train-00001-of-00007-71c80017bc45f30d.parquet,parquet,document,manual_document_dataset/human,2026-04-25T09:50:24+07:00,317633760,dc73e1d6834d7432c10b773a4b0f2e9a7e875f15a69a2ecd005a76b7340fedd6,human,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/human/train-00001-of-00007-71c80017bc45f30d.parquet,evidence_acquired/copied_files/documents/human/train-00001-of-00007-71c80017bc45f30d.parquet
EVD-000010,DOC-000010,train-00002-of-00007-ee2d43f396e78fbc.parquet,parquet,document,manual_document_dataset/human,2026-04-25T09:50:24+07:00,124574604,9b0171ce3214f54e33634b966e7cb87660195169c5c07af50fa272a6cdb24973,human,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/human/train-00002-of-00007-ee2d43f396e78fbc.parquet,evidence_acquired/copied_files/documents/human/train-00002-of-00007-ee2d43f396e78fbc.parquet
EVD-000011,DOC-000011,train-00003-of-00007-529931154b42b51d.parquet,parquet,document,manual_document_dataset/human,2026-04-25T09:50:24+07:00,137433618,9b8c76d3044e023cadf673ce81d241991e6a8a02fe479c5e8f97f95bf1506692,human,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/human/train-00003-of-00007-529931154b42b51d.parquet,evidence_acquired/copied_files/documents/human/train-00003-of-00007-529931154b42b51d.parquet
EVD-000012,DOC-000012,train-00004-of-00007-b269dc49374a2c0b.parquet,parquet,document,manual_document_dataset/human,2026-04-25T09:50:24+07:00,137444635,3299c22eb127a65b835aa1511cbe34528bfafa3796662dab183e3b451419dd42,human,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/human/train-00004-of-00007-b269dc49374a2c0b.parquet,evidence_acquired/copied_files/documents/human/train-00004-of-00007-b269dc49374a2c0b.parquet
EVD-000013,DOC-000013,train-00005-of-00007-3dce5e05ddbad789.parquet,parquet,document,manual_document_dataset/human,2026-04-25T09:50:24+07:00,257809729,b8ea9f3e91bb3c29cdf1de984d0e4e33ad535244748e1f2e0ec4e1bdcce1a9ec,human,Registered from document-only raw evidence; master evidence preserved.,evidence_raw/documents/human/train-00005-of-00007-3dce5e05ddbad789.parquet,evidence_acquired/copied_files/documents/human/train-00005-of-00007-3dce5e05ddbad789.parquet
